iter	Passed	Remaining
0	48	48221
1	48	24334
2	49	16363
3	49	12370
4	50	9975
5	50	8380
6	51	7249
7	51	6400
8	52	5740
9	52	5210
10	53	4778
11	53	4418
12	54	4112
13	54	3851
14	55	3624
15	55	3424
16	56	3249
17	56	3093
18	57	2953
19	57	2828
20	58	2714
21	58	2612
22	59	2520
23	59	2436
24	60	2358
25	61	2286
26	61	2220
27	62	2158
28	62	2101
29	63	2048
30	63	1998
31	64	1952
32	65	1907
33	65	1866
34	66	1827
35	66	1791
36	67	1756
37	68	1724
38	68	1691
39	69	1662
40	69	1633
41	70	1606
42	71	1580
43	71	1554
44	72	1531
45	72	1509
46	73	1486
47	73	1465
48	74	1445
49	75	1425
50	75	1407
51	76	1388
52	76	1371
53	77	1354
54	77	1338
55	78	1323
56	79	1308
57	79	1293
58	80	1279
59	80	1266
60	81	1252
61	81	1240
62	82	1227
63	83	1215
64	83	1203
65	84	1192
66	84	1181
67	85	1167
68	85	1157
69	86	1147
70	86	1137
71	87	1128
72	88	1118
73	88	1109
74	89	1100
75	89	1091
76	90	1082
77	90	1074
78	91	1066
79	92	1058
80	92	1050
81	93	1043
82	93	1035
83	94	1028
84	94	1019
85	95	1012
86	95	1004
87	96	997
88	96	990
89	97	984
90	97	978
91	98	972
92	99	966
93	99	960
94	100	955
95	100	949
96	101	944
97	101	938
98	102	933
99	103	928
100	103	923
101	104	915
102	104	910
103	105	905
104	105	900
105	106	896
106	106	891
107	107	886
108	107	881
109	108	877
110	109	873
111	109	868
112	110	864
113	110	859
114	111	855
115	111	850
116	112	847
117	112	843
118	113	838
119	113	835
120	114	831
121	114	827
122	115	822
123	115	818
124	116	815
125	116	811
126	117	808
127	117	803
128	118	800
129	119	797
130	119	794
131	120	791
132	120	787
133	121	784
134	121	781
135	122	778
136	123	775
137	123	771
138	124	768
139	124	765
140	125	762
141	125	760
142	126	757
143	126	754
144	127	751
145	128	749
146	128	746
147	129	744
148	129	741
149	130	739
150	130	736
151	131	733
152	131	730
153	132	727
154	132	724
155	133	721
156	133	718
157	134	715
158	134	713
159	135	710
160	135	707
161	136	704
162	136	702
163	137	699
164	137	697
165	138	694
166	138	692
167	139	689
168	139	686
169	139	683
170	140	681
