iter	Passed	Remaining
0	49	49856
1	52	25973
2	54	18072
3	56	13993
4	58	11668
5	60	10078
6	62	8890
7	64	7993
8	66	7318
9	68	6759
10	70	6297
11	72	5929
12	74	5648
13	76	5385
14	78	5144
15	80	4947
16	82	4788
17	84	4615
18	86	4465
19	88	4343
20	90	4224
21	92	4116
22	94	4010
23	96	3934
24	98	3856
25	100	3774
26	102	3699
27	104	3629
28	106	3565
29	108	3501
30	110	3446
31	112	3396
32	114	3354
33	116	3310
34	118	3275
35	120	3224
36	121	3165
37	122	3107
38	124	3057
39	125	3010
40	126	2963
41	127	2916
42	128	2867
43	129	2820
44	130	2774
45	131	2728
46	132	2685
47	133	2644
48	134	2603
49	135	2565
50	135	2527
51	136	2489
52	137	2452
53	137	2416
54	138	2382
55	139	2350
56	140	2319
57	140	2289
58	141	2261
59	142	2233
60	143	2206
61	144	2178
62	144	2150
63	145	2122
64	145	2095
65	146	2068
66	146	2043
67	147	2018
68	147	1994
69	148	1971
70	148	1949
71	149	1927
72	150	1905
73	150	1884
74	151	1863
75	151	1843
76	152	1823
77	152	1803
78	153	1783
79	153	1764
80	153	1746
81	154	1728
82	154	1708
83	155	1691
84	155	1675
85	156	1659
86	156	1644
87	157	1629
88	157	1613
89	158	1599
90	158	1585
91	159	1571
92	159	1557
93	160	1543
94	160	1529
95	160	1515
96	161	1503
97	162	1491
98	162	1478
99	162	1466
100	163	1457
101	164	1445
102	164	1434
103	165	1422
104	165	1411
105	166	1400
106	166	1389
107	166	1378
108	167	1367
109	167	1357
110	168	1347
111	168	1336
112	169	1327
113	169	1317
114	170	1308
115	170	1299
116	170	1289
117	171	1281
118	171	1272
119	172	1264
120	172	1255
121	173	1246
122	173	1238
123	174	1230
124	174	1222
125	175	1214
126	175	1205
127	175	1197
128	176	1190
129	176	1182
130	177	1175
131	177	1170
132	178	1163
133	178	1155
134	179	1149
135	179	1142
136	180	1135
137	180	1128
138	181	1121
139	181	1114
140	181	1108
141	182	1100
142	182	1094
143	183	1088
144	183	1082
145	183	1075
146	184	1070
147	184	1064
148	185	1058
149	185	1053
150	186	1048
151	186	1042
152	187	1037
153	187	1032
154	188	1027
155	188	1022
156	189	1016
157	189	1012
158	190	1006
159	190	1001
160	191	995
161	191	990
162	191	985
163	192	980
164	192	975
165	193	970
166	193	965
167	194	961
168	194	956
169	194	951
170	195	947
171	195	943
172	196	938
173	196	934
174	197	930
175	197	925
176	198	921
177	198	917
178	199	913
179	199	909
180	200	905
181	200	902
182	201	898
183	201	894
184	202	891
185	202	887
186	203	883
187	203	879
188	204	875
189	204	871
190	204	868
191	205	864
192	205	861
193	206	857
194	206	854
195	207	850
196	207	846
197	208	843
198	208	839
199	209	836
200	209	832
201	209	829
202	210	826
203	210	822
204	211	819
205	211	816
206	212	813
207	212	810
208	213	806
209	213	803
210	214	800
211	214	797
212	215	795
213	215	792
214	216	789
215	216	786
216	217	783
217	217	780
218	218	777
219	218	774
220	219	772
221	219	769
222	219	766
223	220	763
224	220	760
225	221	757
226	221	754
227	222	752
228	222	749
229	222	746
230	223	743
231	223	741
232	224	738
233	224	735
234	225	733
235	225	730
236	226	728
237	226	725
238	226	722
239	227	720
240	227	717
241	228	715
242	228	712
243	229	710
244	229	707
245	230	705
246	230	703
247	231	701
248	231	699
249	232	696
250	232	694
251	233	692
252	233	689
253	234	687
254	234	685
255	235	683
256	235	681
257	236	678
258	236	676
259	236	674
260	237	672
261	237	669
262	238	667
263	238	665
264	239	663
265	239	661
266	240	659
267	240	656
268	240	654
269	241	652
270	241	650
271	242	648
272	242	646
273	243	644
274	243	642
275	244	640
276	244	638
277	245	636
278	245	634
279	246	632
280	246	630
281	247	628
282	247	627
283	247	625
284	248	623
285	248	621
286	249	619
287	249	617
288	250	615
289	250	613
290	251	612
291	251	610
292	252	608
293	252	606
294	253	604
295	253	602
296	253	601
297	254	599
298	254	597
299	255	595
300	255	594
301	256	592
302	256	590
303	257	588
304	257	587
305	258	585
306	258	583
307	259	581
308	259	580
309	260	578
310	260	577
311	260	575
312	261	573
313	261	572
314	262	570
315	262	568
316	263	567
317	263	565
318	264	563
319	264	562
320	264	560
321	265	558
322	265	557
323	266	555
324	266	553
325	267	552
326	267	551
327	268	549
328	268	548
329	269	546
330	269	545
331	270	543
332	270	542
333	271	540
334	271	538
335	271	537
336	272	535
337	272	534
338	273	532
339	273	531
340	274	529
341	274	528
342	275	526
343	275	525
344	276	524
345	276	522
346	277	521
347	277	520
348	278	518
349	278	517
350	278	515
351	279	514
352	279	512
353	280	511
354	280	509
355	280	508
356	281	506
357	281	505
358	282	504
359	282	502
360	283	501
361	283	499
362	283	498
363	284	496
364	285	496
365	285	495
366	286	493
367	286	492
368	287	491
369	287	489
370	287	488
371	288	486
372	289	485
373	289	484
374	290	483
375	290	482
376	291	481
377	291	479
378	292	478
379	292	477
380	293	476
381	293	474
382	293	473
383	294	472
384	294	470
385	295	469
386	295	468
387	296	467
388	296	465
389	296	464
390	297	463
391	297	461
392	298	460
393	298	459
394	299	458
395	299	456
396	299	455
397	300	454
398	300	453
399	301	452
400	301	450
401	302	449
402	302	448
403	303	447
404	303	445
405	303	444
406	304	443
407	304	442
408	305	441
409	306	440
410	306	439
411	307	438
412	307	437
413	307	435
414	308	434
415	308	433
416	309	432
417	309	431
418	310	429
419	310	428
420	310	427
421	311	426
422	311	425
423	312	424
424	312	422
425	313	421
426	313	420
427	314	419
428	314	418
429	314	417
430	315	416
431	315	415
432	316	414
433	316	413
434	317	411
435	317	410
436	317	409
437	318	408
438	318	407
439	319	406
440	319	405
441	320	404
442	320	403
443	321	402
444	321	401
445	322	400
446	322	399
447	323	398
448	323	397
449	323	395
450	324	394
451	324	393
452	325	392
453	325	391
454	326	390
455	326	389
456	327	388
457	327	387
458	328	386
459	328	385
460	328	384
461	329	383
462	329	382
463	330	381
464	330	380
465	331	379
466	331	378
467	331	377
468	332	376
469	332	375
470	333	374
471	333	373
472	334	372
473	334	371
474	335	370
475	335	369
476	336	368
477	336	367
478	337	366
479	337	365
480	337	364
481	338	363
482	338	362
483	339	361
484	339	360
485	340	359
486	340	358
487	340	357
488	341	356
489	341	355
490	342	354
491	342	353
492	343	352
493	343	352
494	344	351
495	344	350
496	345	349
497	345	348
498	345	347
499	346	346
500	346	345
501	347	344
502	347	343
503	348	342
504	348	341
505	349	340
506	349	339
507	350	339
508	350	338
509	350	337
510	351	336
511	351	335
512	352	334
513	352	333
514	353	332
515	353	331
516	354	330
517	354	329
518	355	329
519	355	328
520	355	327
521	356	326
522	356	325
523	357	324
524	357	323
525	358	322
526	358	321
527	358	320
528	359	319
529	359	319
530	360	318
531	360	317
532	361	316
533	361	315
534	362	314
535	362	313
536	362	312
537	363	312
538	363	311
539	364	310
540	364	309
541	365	308
542	365	307
543	366	307
544	366	306
545	367	305
546	367	304
547	368	303
548	368	302
549	369	301
550	369	301
551	369	300
552	370	299
553	370	298
554	371	297
555	371	296
556	372	295
557	372	295
558	372	294
559	373	293
560	373	292
561	374	291
562	374	290
563	375	290
564	375	289
565	376	288
566	376	287
567	377	286
568	377	285
569	377	285
570	378	284
571	378	283
572	379	282
573	379	281
574	380	281
575	380	280
576	381	279
577	381	278
578	382	277
579	382	277
580	383	276
581	383	275
582	383	274
583	384	273
584	384	272
585	385	272
586	385	271
587	386	270
588	386	269
589	386	268
590	387	268
591	387	267
592	388	266
593	388	265
594	389	264
595	389	264
596	390	263
597	390	262
598	391	261
599	391	260
600	391	260
601	392	259
602	392	258
603	393	257
604	393	257
605	394	256
606	394	255
607	395	254
608	395	254
609	396	253
610	396	252
611	397	251
612	397	250
613	397	250
614	398	249
615	398	248
616	399	247
617	399	247
618	400	246
619	400	245
620	400	244
621	401	243
622	401	243
623	402	242
624	403	241
625	403	241
626	403	240
627	404	239
628	404	238
629	405	238
630	405	237
631	406	236
632	406	235
633	407	234
634	407	234
635	407	233
636	408	232
637	408	232
638	409	231
639	410	230
640	410	229
641	410	229
642	411	228
643	411	227
644	412	226
645	412	226
646	413	225
647	413	224
648	413	223
649	414	223
650	414	222
651	415	221
652	415	220
653	416	220
654	416	219
655	417	218
656	417	217
657	417	217
658	418	216
659	418	215
660	419	215
661	419	214
662	420	213
663	420	212
664	421	212
665	421	211
666	421	210
667	422	209
668	422	209
669	423	208
670	423	207
671	424	207
672	424	206
673	425	205
674	425	204
675	426	204
676	426	203
677	426	202
678	427	202
679	427	201
680	428	200
681	428	199
682	429	199
683	429	198
684	429	197
685	430	197
686	430	196
687	431	195
688	431	194
689	432	194
690	432	193
691	433	192
692	433	192
693	433	191
694	434	190
695	434	189
696	435	189
697	435	188
698	436	187
699	436	187
700	437	186
701	437	185
702	437	185
703	438	184
704	438	183
705	439	183
706	439	182
707	440	181
708	440	180
709	441	180
710	441	179
711	442	178
712	442	178
713	443	177
714	443	176
715	443	176
716	444	175
717	444	174
718	445	174
719	445	173
720	446	172
721	446	171
722	447	171
723	447	170
724	447	169
725	448	169
726	448	168
727	449	167
728	449	167
729	450	166
730	450	165
731	451	165
732	451	164
733	451	163
734	452	163
735	452	162
736	453	161
737	453	161
738	454	160
739	454	159
740	455	159
741	455	158
742	456	157
743	456	157
744	456	156
745	457	155
746	457	155
747	458	154
748	458	153
749	459	153
750	459	152
751	459	151
752	460	151
753	460	150
754	461	149
755	461	149
756	462	148
757	462	147
758	462	147
759	463	146
760	463	145
761	464	145
762	464	144
763	465	143
764	465	143
765	466	142
766	466	141
